id;title;photo_url;photo;photo_content_type;voice_url;voice_file;voice_file_content_type;master_description;master_advice;brief_master_advice
1;client-server Visionary Bedfordshire;capacitor;../fake-data/blob/hipster.png;image/png;Automotive;../fake-data/blob/hipster.png;image/png;Boliviano Avon;Loan firewall deposit;Nauru Identity Table
2;Tenge;hack Upgradable Massachusetts;../fake-data/blob/hipster.png;image/png;redundant;../fake-data/blob/hipster.png;image/png;Mountains Quality Automated;Chips Unbranded revolutionary;Dong Wisconsin
3;Computer Security;copy multi-byte generate;../fake-data/blob/hipster.png;image/png;architect;../fake-data/blob/hipster.png;image/png;optimizing Fresh digital;contingency microchip;Dynamic
4;array Director;Coordinator Ireland Shirt;../fake-data/blob/hipster.png;image/png;Cheese New driver;../fake-data/blob/hipster.png;image/png;platforms Refined Savings;turquoise;Consultant Product next
5;holistic Officer;Toys;../fake-data/blob/hipster.png;image/png;User-friendly Designer open-source;../fake-data/blob/hipster.png;image/png;Towels Car;e-services Rubber;integrate Latvian Bedfordshire
6;Hawaii Soap;background Spurs;../fake-data/blob/hipster.png;image/png;Loan Human;../fake-data/blob/hipster.png;image/png;Rica Account reboot;Massachusetts sensor;deliver
7;CSS;Computers withdrawal Bedfordshire;../fake-data/blob/hipster.png;image/png;Public-key;../fake-data/blob/hipster.png;image/png;matrices Jersey;Fresh sensor;Senior
8;West hacking Iowa;XSS override;../fake-data/blob/hipster.png;image/png;Concrete;../fake-data/blob/hipster.png;image/png;Music Uruguayo input;Diverse human-resource Handcrafted;New
9;Arab Handmade;blue Customer;../fake-data/blob/hipster.png;image/png;overriding functionalities Legacy;../fake-data/blob/hipster.png;image/png;SSL 1080p Mauritius;Automotive;Gold algorithm auxiliary
10;Georgia;California Bahraini;../fake-data/blob/hipster.png;image/png;Industrial Gourde Chief;../fake-data/blob/hipster.png;image/png;Orchestrator pixel capacitor;feed synthesizing EXE;paradigm Directives payment
